timestamp,fsr_left,fsr_right
1999,477,913
2004,478,914
2009,478,914
2014,479,914
2019,483,915
2024,483,914
2029,480,914
2034,487,914
2039,487,914
2044,485,914
2049,485,914
2054,483,914
2059,484,914
2064,486,914
2069,481,909
2074,477,908
2079,472,908
2084,473,908
2089,471,908
2094,471,909
2099,471,908
2104,473,908
2109,473,908
2114,470,908
2119,472,908
2124,472,907
2129,470,907
2134,471,908
2139,470,908
2144,471,907
2149,464,907
2154,464,907
2159,463,907
2164,463,906
2169,464,906
2174,464,906
2179,469,906
2184,465,906
2189,464,906
2194,464,906
2199,464,906
2204,464,906
2209,463,906
2214,464,906
2219,465,906
2224,465,907
2229,467,906
2234,466,906
2239,467,906
2244,467,906
2249,467,906
2254,468,906
2259,467,906
2264,467,906
2269,468,906
2274,467,906
2279,468,906
2284,468,906
2289,468,906
2294,468,906
2299,468,906
2304,469,906
2309,468,906
2314,468,906
2319,468,906
2324,468,906
2329,468,906
2334,468,907
2339,468,907
2344,468,907
2349,468,907
2354,467,907
2359,467,906
2364,467,907
2369,467,907
2374,467,907
2379,454,777
2384,332,583
2390,451,778
2395,328,576
2400,451,781
2405,333,592
2410,450,792
2415,330,649
2420,448,802
2425,421,627
2430,3,785
2435,835,780
2440,660,633
2445,840,758
2450,609,654
2455,605,668
2460,652,668
2465,679,652
2470,574,723
2475,365,700
2480,390,742
2485,408,713
2490,551,708
2495,553,713
2500,420,729
2505,387,689
2510,567,707
2515,611,706
2520,563,678
2525,623,686
2530,680,681
2535,716,689
2540,837,837
2545,675,703
2550,567,710
2555,587,705
2560,691,730
2565,665,719
2570,666,756
2575,849,868
2580,729,750
2585,754,754
2590,743,765
2595,862,870
2600,722,737
2605,727,743
2610,664,737
2615,692,741
2620,708,739
2625,743,756
2630,783,748
2635,748,722
2640,759,748
2646,789,747
2651,789,871
2656,797,744
2661,945,850
2666,811,735
2671,804,739
2676,779,718
2681,784,732
2686,812,746
2691,819,749
2696,953,826
2701,795,724
2706,796,691
2711,821,720
2716,841,725
2721,832,690
2726,810,672
2731,834,693
2736,798,796
2741,850,694
2746,822,816
2751,825,685
2756,836,694
2761,889,706
2766,813,658
2771,842,687
2776,818,657
2781,814,645
2786,844,673
2791,850,682
2796,875,684
2801,995,784
2806,841,668
2811,813,659
2816,838,690
2821,853,693
2826,986,797
2831,818,671
2836,962,798
2841,810,690
2846,934,791
2851,811,690
2856,961,812
2861,822,699
2866,779,701
2871,973,810
2876,824,694
2881,979,817
2886,799,694
2891,930,821
2896,760,678
2902,947,812
2907,803,708
2912,959,845
2917,825,740
2922,813,729
2927,818,712
2932,977,843
2937,791,700
2942,965,845
2947,964,841
2952,794,715
2957,952,813
2962,774,703
2967,959,813
2972,809,743
2977,945,789
2982,799,720
2987,765,686
2992,913,759
2997,814,864
3002,889,789
3007,796,876
3012,878,787
3017,813,868
3022,860,735
3027,955,855
3032,950,845
3037,824,756
3042,922,842
3047,810,742
3052,937,864
3057,834,749
3062,951,843
3067,827,740
3072,818,744
3077,937,859
3082,799,735
3087,929,863
3092,772,733
3097,923,849
3102,797,744
3107,938,868
3112,812,730
3117,800,738
3122,937,846
3127,784,754
3132,754,861
3137,628,720
3142,754,859
3147,629,730
3152,799,857
3158,685,729
3163,795,863
3168,687,750
3173,798,848
3178,664,716
3183,811,876
3188,688,747
3193,804,860
3198,697,762
3203,686,749
3208,805,867
3213,694,740
3218,798,844
3223,687,748
3228,804,810
3233,675,736
3238,803,819
3243,794,802
3248,678,745
3253,782,780
3258,683,859
3263,765,781
3268,678,880
3273,736,779
3278,679,892
3283,732,792
3288,740,789
3293,815,865
3298,729,774
3303,815,887
3308,717,763
3313,812,866
3318,700,742
3323,818,878
3328,937,875
3333,713,746
3338,824,850
3343,694,727
3348,848,868
3353,721,747
3358,980,880
3363,841,750
3368,978,867
3373,912,862
3378,813,760
3383,935,860
3388,775,746
3393,935,859
3398,794,754
3403,924,870
3408,793,749
3414,916,870
3419,755,715
3424,936,877
3429,782,733
3434,964,871
3439,818,749
3444,963,865
3449,815,753
3454,945,869
3459,937,873
3464,800,745
3469,949,872
3474,809,740
3479,941,853
3484,797,741
3489,955,816
3494,795,742
3499,787,757
3504,938,800
3509,780,715
3514,894,784
3519,785,876
3524,890,772
3529,797,889
3534,885,793
3539,808,863
3544,829,868
3549,858,753
3554,985,875
3559,853,758
3564,962,879
3569,854,791
3574,810,746
3579,802,729
3584,820,734
3589,839,766
3594,843,758
3599,788,729
3604,855,748
3609,804,742
3614,858,742
3619,825,712
3624,854,724
3629,851,700
3634,784,704
3639,791,710
3644,818,702
3649,809,688
3654,788,705
3659,774,673
3664,805,686
3670,779,669
3675,788,681
3680,813,692
3685,822,664
3690,820,656
3695,823,680
3700,784,590
3705,744,623
3710,738,590
3715,795,519
3720,772,560
3725,810,555
3730,795,518
3735,784,480
3740,826,528
3745,781,522
3750,784,504
3755,758,507
3760,815,511
3765,837,567
3770,772,542
3775,823,546
3780,852,595
3785,845,617
3790,839,601
3795,849,654
3800,845,638
3805,840,631
3810,865,599
3815,801,623
3820,825,646
3825,783,633
3830,842,635
3835,836,661
3840,837,667
3845,808,646
3850,845,656
3855,793,633
3860,808,665
3865,784,683
3870,777,617
3875,839,614
3880,781,539
3885,779,546
3890,755,495
3895,737,603
3900,750,569
3905,734,556
3910,766,500
3915,763,598
3920,691,541
3926,749,565
3931,770,512
3936,735,478
3941,707,454
3946,623,498
3951,785,502
3956,627,521
3961,497,456
3966,517,534
3971,505,496
3976,480,464
3981,503,470
3986,582,486
3991,427,505
3996,335,481
4001,0,486
4006,0,499
4011,0,493
4016,285,500
4021,372,433
4026,0,418
4031,0,442
4036,0,533
4041,0,588
4046,0,524
4051,353,498
4056,493,586
4061,542,619
4066,411,589
4071,453,585
4076,480,548
4081,530,602
4086,548,640
4091,622,609
4096,573,613
4101,545,489
4106,547,582
4111,517,626
4116,448,610
4121,517,615
4126,622,602
4131,665,655
4136,507,669
4141,507,643
4146,595,629
4151,690,607
4156,737,640
4161,783,648
4166,803,671
4171,788,658
4176,768,628
4182,785,687
4187,801,710
4192,789,641
4197,778,639
4202,803,694
4207,772,680
4212,722,663
4217,730,617
4222,717,619
4227,677,608
4232,745,660
4237,774,670
4242,755,659
4247,714,676
4252,752,670
4257,759,683
4262,772,671
4267,787,668
4272,790,677
4277,760,641
4282,725,633
4287,726,673
4292,683,652
4297,691,620
4302,713,631
4307,742,639
4312,689,628
4317,613,654
4322,682,678
4327,684,664
4332,696,656
4337,644,630
4342,713,649
4347,745,669
4352,721,654
4357,714,674
4362,619,666
4367,730,648
4372,763,619
4377,780,620
4382,798,636
4387,789,625
4392,798,661
4397,820,664
4402,770,621
4407,767,606
4412,799,620
4417,787,664
4422,719,622
4427,726,676
4432,752,665
4438,748,663
4443,749,647
4448,751,629
4453,788,665
4458,754,640
4463,697,646
4468,761,665
4473,753,667
4478,712,636
4483,732,621
4488,785,644
4493,730,653
4498,738,634
4503,683,641
4508,738,642
4513,786,611
4518,758,564
4523,745,575
4528,790,604
4533,724,633
4538,620,633
4543,580,662
4548,598,645
4553,688,654
4558,724,661
4563,727,638
4568,731,656
4573,738,645
4578,760,620
4583,783,654
4588,784,676
4593,788,672
4598,774,660
4603,762,658
4608,723,644
4613,741,669
4618,783,641
4623,782,652
4628,778,635
4633,771,618
4638,785,642
4643,783,656
4648,754,644
4653,762,669
4658,744,660
4663,740,637
4668,772,668
4673,755,680
4678,729,679
4683,726,689
4688,749,671
4694,755,676
4699,778,687
4704,793,702
4709,793,693
4714,796,692
4719,815,695
4724,794,689
4729,770,673
4734,815,697
4739,814,673
4744,817,665
4749,744,653
4754,663,635
4759,646,657
4764,643,667
4769,625,672
4774,691,649
4779,752,688
4784,731,668
4789,715,642
4794,770,683
4799,779,692
4804,778,667
4809,770,643
4814,801,665
4819,844,680
4824,842,678
4829,733,634
4834,229,619
4839,110,657
4844,687,675
4849,778,640
4854,782,664
4859,708,613
4864,720,624
4869,715,609
4874,771,664
4879,773,648
4884,725,603
4889,803,639
4894,832,671
4899,788,659
4904,824,632
4909,818,630
4914,859,669
4919,849,662
4924,853,658
4929,855,661
4934,829,667
4939,846,637
4944,852,624
4950,815,607
4955,841,637
4960,833,659
4965,860,656
4970,853,623
4975,831,631
4980,855,619
4985,813,619
4990,856,594
4995,852,604
5000,838,530
5005,834,566
5010,851,523
5015,821,552
5020,857,557
5025,846,510
5030,858,545
5035,836,568
5040,874,602
5045,853,450
5050,821,479
5055,835,542
5060,820,577
5065,858,525
5070,829,562
5075,848,596
5080,842,507
5085,860,529
5090,827,504
5095,854,596
5100,843,540
5105,830,496
5110,857,485
5115,808,481
5120,814,499
5125,821,466
5130,816,420
5135,804,458
5140,832,499
5145,810,549
5150,823,458
5155,854,518
5160,817,479
5165,807,515
5170,822,499
5175,839,512
5180,816,496
5185,849,523
5190,835,507
5195,854,495
5200,846,502
5206,800,449
5211,846,499
5216,822,488
5221,820,477
5226,854,522
5231,845,532
5236,834,485
5241,872,589
5246,855,526
5251,869,530
5256,830,488
5261,862,502
5266,860,559
5271,820,610
5276,864,595
5281,870,613
5286,867,622
5291,867,567
5296,878,533
5301,877,610
5306,864,624
5311,887,645
5316,874,641
5321,851,621
5326,873,629
5331,861,605
5336,873,592
5341,845,606
5346,839,606
5351,876,628
5356,840,638
5361,814,559
5366,864,607
5371,882,647
5376,862,636
5381,875,667
5386,822,644
5391,816,619
5396,846,632
