timestamp,fsr_left,fsr_right
711
40564,0,711
40569,0,711
40574,0,711
40579,0,711
40584,0,711
40589,0,711
40594,0,712
40599,0,711
40604,0,711
1999,0,709
2004,0,709
2009,0,709
2014,0,709
2019,0,709
2024,0,709
2029,0,709
2034,0,709
2039,0,709
2044,0,709
2049,0,709
2054,0,709
2059,0,709
2064,0,709
2069,0,709
2074,0,709
2079,0,709
2084,0,709
2089,0,709
2094,0,709
2099,0,709
2104,0,709
2109,0,708
2114,0,709
2119,0,710
2124,0,710
2129,0,711
2134,0,711
2139,0,711
2144,0,710
2149,0,710
2154,0,710
2159,0,710
2164,0,710
2169,0,711
2174,0,710
2179,0,710
2184,0,710
2189,0,710
2194,0,710
2199,0,710
2204,0,710
2209,0,710
2214,0,711
2219,0,710
2224,0,710
2229,0,710
2234,0,710
2239,0,710
2244,0,711
2249,0,710
2254,0,710
2259,0,710
2264,0,710
2269,0,710
2274,0,710
2279,0,710
2284,0,710
2289,0,710
2294,0,710
2299,0,710
2304,0,710
2309,0,709
2314,0,709
2319,0,710
2324,0,710
2329,0,710
2334,0,709
2339,0,710
2344,0,710
2349,0,709
2354,0,709
2359,0,710
2364,0,710
2369,0,710
2374,0,710
2379,0,710
2384,0,710
2390,0,710
2395,0,710
2400,0,709
2405,0,710
2410,0,711
2415,0,711
2420,0,711
2425,0,710
2430,0,711
2435,0,710
2440,0,710
2445,0,710
2450,0,711
2455,0,710
2460,0,710
2465,0,710
2470,0,710
2475,0,710
2480,0,710
2485,0,710
2490,0,711
2495,0,711
2500,0,710
2505,0,710
2510,0,711
2515,0,711
2520,0,710
2525,0,710
2530,0,711
2535,0,711
2540,0,710
2545,0,710
2550,0,710
2555,0,711
2560,0,710
2565,0,710
2570,0,711
2575,0,711
2580,0,711
2585,0,710
2590,0,711
2595,0,711
2600,0,710
2605,0,710
2610,0,711
2615,0,711
2620,0,711
2625,0,710
2630,0,710
2635,0,710
2640,0,710
2646,0,710
2651,0,710
2656,0,710
2661,0,710
2666,0,710
2671,0,710
2676,0,710
2681,0,710
2686,0,710
2691,0,710
2696,0,710
2701,0,711
2706,0,710
2711,0,710
2716,0,710
2721,0,710
2726,0,710
2731,0,710
2736,0,710
2741,0,710
2746,0,710
2751,0,710
