timestamp,fsr_left,fsr_right
424
1999,1001,434
2004,1002,434
2009,1002,434
2014,1002,434
2019,1002,434
2024,1001,434
2029,1001,434
2034,1002,434
2039,1001,434
2044,1002,435
2049,1002,434
2054,1002,434
2059,1002,434
2064,1002,434
2069,1002,434
2074,1001,434
2079,1002,435
2084,1002,435
2089,1003,435
2094,1001,436
2099,1002,436
2104,1001,437
2109,1001,436
2114,1001,436
2119,1002,435
2124,1002,435
2129,1003,435
2134,1001,434
2139,1002,434
2144,1002,434
2149,1002,434
2154,1002,435
2159,1002,434
2164,1002,435
2169,1003,435
2174,1002,434
2179,1001,434
2184,1002,434
2189,1001,434
2194,1002,434
2199,1002,434
2204,1002,434
2209,1002,435
2214,1002,437
2219,1002,435
2224,1002,435
2229,1002,433
2234,1002,431
2239,1002,430
2244,1003,430
2249,1002,430
2254,1002,432
2259,1002,431
2264,1002,433
2269,1002,433
2274,1002,433
2279,1003,434
2284,1002,434
2289,1003,434
2294,1002,435
2299,1002,433
2304,1002,433
2309,1001,429
2314,1001,428
2319,1002,429
2324,1003,429
2329,1002,429
2334,1002,430
2339,1002,431
2344,1002,432
2349,1002,433
2354,1001,433
2359,1002,433
2364,1003,433
2369,1002,433
2374,1002,433
2379,1001,433
2384,1001,433
2390,1002,432
2395,1002,432
2400,1001,432
2405,1002,431
2410,1002,431
2415,1002,431
2420,1002,431
2425,1001,431
2430,1001,432
2435,1001,431
2440,1002,431
2445,1002,432
2450,1002,432
2455,1002,431
2460,1002,431
2465,1002,431
2470,1002,431
2475,1002,431
2480,1001,431
2485,1002,431
2490,1003,431
2495,1002,431
2500,1002,430
2505,1002,430
2510,1002,429
2515,1002,428
2520,1001,426
2525,1003,426
2530,1003,425
2535,1003,425
2540,1001,424
2545,1002,423
2550,1001,423
2555,1001,423
2560,1001,422
2565,1002,423
2570,1002,422
2575,1002,423
2580,1002,426
2585,1001,426
2590,1001,427
2595,1001,426
2600,1001,426
2605,1002,428
2610,1001,428
2615,1001,427
2620,1001,427
2625,1001,427
2630,1001,426
2635,1001,426
2640,1001,425
2646,1001,425
2651,1002,424
2656,1002,424
2661,1002,423
2666,1001,423
2671,1002,422
2676,1001,422
2681,1001,422
2686,1001,423
2691,1001,424
2696,1002,425
2701,1002,426
2706,1001,426
2711,1002,426
2716,1001,427
2721,1001,427
2726,1002,428
2731,1002,428
2736,1002,428
