timestamp,fsr_left,fsr_right,f_l,f_r,p_sum,z_score,status
40564,0.0,711.0,-1.6030489601024983e-18,711.0002704604703,711.0002704604703,-4.552634155714445,Danger
40569,0.0,711.0,-2.1435706986188252e-18,710.9566718475457,710.9566718475457,-4.552895753983474,Danger
40574,0.0,711.0,-2.717859931352988e-18,710.9046760704489,710.9046760704489,-4.5532077365070664,Danger
40579,0.0,711.0,-3.2728662163577626e-18,710.8363195631167,710.8363195631167,-4.553617885885578,Danger
40584,0.0,711.0,-3.728288232224324e-18,710.7446802497138,710.7446802497138,-4.554167735620538,Danger
40589,0.0,711.0,-3.9713931514902e-18,710.6246001935988,710.6246001935988,-4.554888234111601,Danger
40594,0.0,712.0,-3.853001227450503e-18,710.4736336489963,710.4736336489963,-4.5557940562031805,Danger
40599,0.0,711.0,-3.1857901468991327e-18,710.2932676462459,710.2932676462459,-4.556876279488422,Danger
40604,0.0,711.0,-1.746428769718393e-18,710.0904335794855,710.0904335794855,-4.5580933145545695,Danger
1999,0.0,709.0,7.165855884001365e-19,709.8780294425778,709.8780294425778,-4.559367771488459,Danger
2004,0.0,709.0,4.467178537914654e-18,709.671864767639,709.671864767639,-4.560604790707218,Danger
2009,0.0,709.0,9.755587202711441e-18,709.4851716395218,709.4851716395218,-4.561724977701229,Danger
2014,0.0,709.0,1.6779361686978913e-17,709.3255814670291,709.3255814670291,-4.562682542863919,Danger
2019,0.0,709.0,2.5629157670446533e-17,709.1957073623352,709.1957073623352,-4.563461807127174,Danger
2024,0.0,709.0,3.6217605050866737e-17,709.0947368366333,709.0947368366333,-4.564067645546673,Danger
2029,0.0,709.0,4.819069830217485e-17,709.0197427187884,709.0197427187884,-4.564517621591771,Danger
2034,0.0,709.0,6.082303349958758e-17,708.9667138770685,708.9667138770685,-4.564835802659287,Danger
2039,0.0,709.0,7.290098119561628e-17,708.9313300122913,708.9313300122913,-4.5650481111974806,Danger
2044,0.0,709.0,8.260168214584195e-17,708.909516985458,708.909516985458,-4.5651789926562945,Danger
2049,0.0,709.0,8.738068656593532e-17,708.8978233580467,708.8978233580467,-4.5652491561886706,Danger
2054,0.0,709.0,8.388714436143019e-17,708.8936572457002,708.8936572457002,-4.565274153492606,Danger
2059,0.0,709.0,6.793257601208263e-17,708.895417023043,708.895417023043,-4.565263594562496,Danger
2064,0.0,709.0,3.454709845437123e-17,708.902541302321,708.902541302321,-4.56522084780974,Danger
2069,0.0,709.0,-2.1835031222900393e-17,708.9154940504342,708.9154940504342,-4.5651431293627915,Danger
2074,0.0,709.0,-1.070114793625581e-16,708.935690568089,708.935690568089,-4.565021947203441,Danger
2079,0.0,709.0,-2.2641533350029194e-16,708.9653600349066,708.9653600349066,-4.564843925916939,Danger
2084,0.0,709.0,-3.8423069759244583e-16,709.00733107088,709.00733107088,-4.564592093355683,Danger
2089,0.0,709.0,-5.821701649767057e-16,709.0647189623983,709.0647189623983,-4.564247757330352,Danger
2094,0.0,709.0,-8.178782181091433e-16,709.1404876640535,709.1404876640535,-4.563793133665286,Danger
2099,0.0,709.0,-1.0829513551942417e-15,709.23685743295,709.23685743295,-4.563214900482187,Danger
2104,0.0,709.0,-1.3606086066384879e-15,709.3545312516209,709.3545312516209,-4.562508839779578,Danger
2109,0.0,708.0,-1.6231087197689638e-15,709.4917215906603,709.4917215906603,-4.5616856770041405,Danger
2114,0.0,709.0,-1.829095861317384e-15,709.6429753339562,709.6429753339562,-4.56077813167698,Danger
2119,0.0,710.0,-1.921166332354173e-15,709.7984496582578,709.7984496582578,-4.559845262225695,Danger
2124,0.0,710.0,-1.824084672269469e-15,709.9449551673163,709.9449551673163,-4.5589662070218235,Danger
2129,0.0,711.0,-1.4442357395054106e-15,710.0688600737816,710.0688600737816,-4.5582227588503965,Danger
2134,0.0,711.0,-6.710725667227841e-16,710.1597157467769,710.1597157467769,-4.5576776110763575,Danger
2139,0.0,711.0,6.185053112659067e-16,710.213464765245,710.213464765245,-4.557355108839472,Danger
2144,0.0,710.0,2.551752729157293e-15,710.2334337946651,710.2334337946651,-4.557235291643922,Danger
2149,0.0,710.0,5.24646254706641e-15,710.2278893325343,710.2278893325343,-4.55726855925495,Danger
2154,0.0,710.0,8.790920121437077e-15,710.2060218255112,710.2060218255112,-4.5573997676031395,Danger
2159,0.0,710.0,1.3216344177000067e-14,710.1754396484356,710.1754396484356,-4.5575832652891775,Danger
2164,0.0,710.0,1.8461064380890152e-14,710.1417219695642,710.1417219695642,-4.5577855764600335,Danger
2169,0.0,711.0,2.4326301714879427e-14,710.1086984077007,710.1086984077007,-4.5579837228239,Danger
2174,0.0,710.0,3.042439466585846e-14,710.0787690418903,710.0787690418903,-4.558163303543651,Danger
2179,0.0,710.0,3.61217318882321e-14,710.0532246289305,710.0532246289305,-4.558316573883357,Danger
2184,0.0,710.0,4.0480579214840624e-14,710.0325412673434,710.0325412673434,-4.558440677179905,Danger
