timestamp,fsr_left,fsr_right
1999,736,861
2004,737,860
2009,738,860
2014,737,861
2019,737,861
2024,738,861
2029,737,861
2034,737,861
2039,737,860
2044,737,860
2049,737,860
2054,737,861
2059,737,862
2064,737,861
2069,737,860
2074,737,860
2079,737,860
2084,737,860
2089,737,861
2094,737,861
2099,738,861
2104,737,861
2109,737,861
2114,737,860
2119,737,860
2124,737,860
2129,736,860
2134,737,861
2139,737,861
2144,737,860
2149,737,860
2154,737,859
2159,737,859
2164,737,859
2169,737,859
2174,737,859
2179,737,859
2184,737,859
2189,737,859
2194,737,859
2199,737,859
2204,736,858
2209,736,859
2214,736,858
2219,737,859
2224,737,859
2229,737,859
2234,737,859
2239,737,859
2244,737,858
2249,737,859
2254,737,858
2259,736,859
2264,737,858
2269,737,859
2274,737,858
2279,737,859
2284,736,859
2289,737,858
2294,736,858
2299,737,859
2304,736,858
2309,737,858
2314,737,859
2319,736,858
2324,737,858
2329,737,858
2334,737,859
2339,737,859
2344,737,859
2349,737,858
2354,737,858
2359,736,858
2364,736,858
2369,737,858
2374,737,859
2379,737,859
2384,738,859
2390,738,859
2395,738,859
2400,738,860
2405,738,860
2410,738,860
2415,738,860
2420,738,860
2425,738,861
2430,739,861
2435,738,861
2440,738,861
2445,738,861
2450,738,861
2455,738,861
2460,738,861
2465,738,862
2470,738,861
2475,739,861
2480,738,861
2485,737,861
2490,738,861
2495,737,861
2500,737,861
2505,738,862
2510,738,862
2515,738,861
2520,738,861
2525,738,861
2530,738,861
2535,738,860
2540,738,861
2545,738,862
2550,738,861
2555,737,861
2560,737,861
2565,736,861
2570,737,861
2575,737,861
2580,736,861
2585,737,861
2590,738,861
2595,737,861
2600,737,861
2605,737,861
2610,737,861
2615,737,860
2620,737,861
2625,737,862
2630,737,861
2635,737,861
2640,737,861
2646,736,861
2651,737,861
2656,736,861
2661,737,861
2666,737,861
2671,737,861
2676,737,861
2681,738,862
2686,538,574
2691,541,577
2696,713,724
2701,539,572
2706,711,694
2711,540,577
2716,703,676
2721,553,589
2726,688,665
2731,677,663
2736,574,746
2741,663,657
2746,578,791
2751,652,649
2756,583,758
2761,653,631
2766,799,745
2771,600,627
2776,617,629
2781,764,744
2786,653,635
2791,771,756
2796,660,639
2801,794,765
2806,656,622
2811,821,760
2816,830,754
2821,680,622
2826,825,759
2831,676,631
2836,818,757
2841,672,627
2846,823,757
2851,675,626
2856,827,754
2861,830,757
2866,668,617
2871,825,753
2876,668,621
2881,822,753
2886,673,622
2891,827,755
2896,677,622
2902,835,753
2907,690,627
2912,842,749
2917,695,619
2922,850,743
2927,674,600
2932,858,737
2937,712,608
2942,877,736
2947,878,731
2952,712,606
2957,888,725
2962,712,620
2967,873,723
2972,687,626
2977,805,703
2982,642,620
2987,625,608
2992,742,674
2997,656,757
3002,782,668
3007,694,796
3012,782,661
3017,706,759
3022,777,650
3027,898,756
3032,913,738
3037,750,633
3042,853,727
3047,707,619
3052,832,758
3057,699,638
3062,839,740
3067,699,615
3072,681,617
3077,818,753
3082,685,641
3087,799,766
3092,667,645
3097,786,758
3102,650,642
3107,773,760
3112,632,626
3117,614,626
3122,743,726
3127,607,614
3132,733,733
3137,598,620
3142,732,752
3147,602,626
3152,730,758
3158,602,627
3163,741,754
3168,612,641
3173,748,763
3178,619,642
3183,747,776
3188,618,647
3193,731,728
3198,608,621
3203,597,619
