timestamp,fsr_left,fsr_right,f_l,f_r,p_sum,z_score,status
41909,0,0,-5.95330922582207e-21,1.1973962241427658e-25,-5.953189486199655e-21,-8.818743271465298,Danger
41914,0,0,-7.14652196537123e-21,1.7813173682593624e-25,-7.146343833634405e-21,-8.818743271465298,Danger
41919,0,0,-8.111839502226861e-21,2.468649862824154e-25,-8.111592637240578e-21,-8.818743271465298,Danger
41924,0,0,-8.600908859290995e-21,3.231129213018448e-25,-8.600585746369693e-21,-8.818743271465298,Danger
41929,0,0,-8.286149451728518e-21,4.015272578506332e-25,-8.285747924470668e-21,-8.818743271465298,Danger
41934,0,0,-6.75748003469269e-21,4.734975565029884e-25,-6.7570065371361866e-21,-8.818743271465298,Danger
41939,0,0,-3.527549081961004e-21,5.264055150167926e-25,-3.527022676445987e-21,-8.818743271465298,Danger
41944,0,0,1.9504313629089037e-21,5.42964266826404e-25,1.95097432717573e-21,-8.818743271465298,Danger
9,0,0,1.024743421521281e-20,5.007729785537402e-25,1.0247934988191364e-20,-8.818743271465298,Danger
41894,0,0,2.1900623673808625e-20,3.7226293288645896e-25,2.190099593674151e-20,-8.818743271465298,Danger
41899,0,0,3.7327165821442094e-20,1.2526077176944648e-25,3.732729108221386e-20,-8.818743271465298,Danger
41904,0,0,5.670487203011767e-20,-2.755565294204421e-25,5.670459647358825e-20,-8.818743271465298,Danger
41909,0,0,7.981607802575145e-20,-8.659985392438857e-25,7.98152120272122e-20,-8.818743271465298,Danger
41914,0,0,1.0585375488958066e-19,-1.67814806715203e-24,1.058520767415135e-19,-8.818743271465298,Danger
41919,0,0,1.3319301768103909e-19,-2.7342585514982868e-24,1.3319028342248759e-19,-8.818743271465298,Danger
41924,0,0,1.5913730181435313e-19,-4.0384700152025175e-24,1.5913326334433793e-19,-8.818743271465298,Danger
41929,0,0,1.796568342757743e-19,-5.5661613467459064e-24,1.7965126811442756e-19,-8.818743271465298,Danger
41934,0,0,1.8914784908549893e-19,-7.250950818603517e-24,1.8914059813468031e-19,-8.818743271465298,Danger
41939,0,0,1.8025430717083564e-19,-8.969657990154966e-24,1.802453375128455e-19,-8.818743271465298,Danger
41944,0,0,1.4380940432208403e-19,-1.0525970606112145e-23,1.4379887835147792e-19,-8.818743271465298,Danger
1999,0,0,6.897118011136858e-20,-1.1634138141980158e-23,6.89595459732266e-20,-8.818743271465298,Danger
2004,0,0,-5.635621545151211e-20,-1.1904749387528854e-23,-5.636812020089964e-20,-8.818743271465298,Danger
2009,0,0,-2.447086220300177e-19,-1.0835540927955463e-23,-2.4471945757094567e-19,-8.818743271465298,Danger
2014,0,0,-5.077377187367163e-19,-7.811201135122988e-24,-5.077455299378515e-19,-8.818743271465298,Danger
2019,0,0,-8.542571463119245e-19,-2.11722457515138e-24,-8.542592635364996e-19,-8.818743271465298,Danger
2024,0,0,-1.2875514893737127e-18,7.02606142713849e-24,-1.2875444633122856e-18,-8.818743271465298,Danger
2029,0,0,-1.801872972230802e-18,2.0402279698635938e-23,-1.8018525699511034e-18,-8.818743271465298,Danger
2034,0,0,-2.378110443446763e-18,3.870305830270944e-23,-2.3780717403884606e-18,-8.818743271465298,Danger
2039,0,0,-2.9787102749079135e-18,6.23899554709904e-23,-2.9786478849524425e-18,-8.818743271465298,Danger
2044,0,0,-3.542067031035831e-18,9.150798969572442e-23,-3.541975523046135e-18,-8.818743271465298,Danger
2049,0,0,-3.976790004997049e-18,1.2544706880706064e-22,-3.976664557928242e-18,-8.818743271465298,Danger
2054,0,0,-4.156494359555009e-18,1.6265206533105864e-22,-4.156331707489678e-18,-8.818743271465298,Danger
2059,0,0,-3.916062678883962e-18,2.0028913570565407e-22,-3.915862389748256e-18,-8.818743271465298,Danger
2064,0,0,-3.050667460901657e-18,2.3388561029459517e-22,-3.050433575291362e-18,-8.818743271465298,Danger
2069,0,0,-1.3192209274232179e-18,2.56973780920596e-22,-1.3189639536422972e-18,-8.818743271465298,Danger
2074,0,0,1.5457041706360593e-18,2.607853833731623e-22,1.5459649560194324e-18,-8.818743271465298,Danger
2079,0,0,5.81910677088249e-18,2.3406339194910764e-22,5.819340834274439e-18,-8.818743271465298,Danger
2084,0,0,1.175334623279456e-17,1.6308030173186492e-22,1.1753509313096291e-17,-8.818743271465298,Danger
2089,0,0,1.9533872465009454e-17,3.1976078085787707e-23,1.953390444108754e-17,-8.818743271465298,Danger
2094,0,0,2.92185808616385e-17,-1.7644779677222544e-22,2.921840441384173e-17,-8.818743271465298,Danger
2099,0,0,4.065923111096164e-17,-4.793225868195423e-22,4.065875178837482e-17,-8.818743271465298,Danger
2104,0,0,5.340474266962371e-17,-8.915288908862334e-22,5.340385114073282e-17,-8.818743271465298,Danger
2109,0,0,6.658834507382726e-17,-1.4225741622382242e-21,6.658692249966503e-17,-8.818743271465298,Danger
2114,0,0,7.880368975390244e-17,-2.072397135836298e-21,7.88016173567666e-17,-8.818743271465298,Danger
2119,0,0,8.797926834743463e-17,-2.826024605053958e-21,8.797644232282957e-17,-8.818743271465298,Danger
2124,0,0,9.126592041775294e-17,-3.647108046851799e-21,9.126227330970609e-17,-8.818743271465298,Danger
2129,0,0,8.495884066060672e-17,-4.4705232783313545e-21,8.495437013732839e-17,-8.818743271465298,Danger
2134,0,0,6.448314707060907e-17,-5.194436126248633e-21,6.447795263448283e-17,-8.818743271465298,Danger
2139,0,0,2.4480361501403316e-17,-5.6725293266677954e-21,2.447468897207665e-17,-8.818743271465298,Danger
2144,0,0,-4.0958598687300236e-17,-5.7074544473314e-21,-4.096430614174757e-17,-8.818743271465298,Danger
2149,0,0,-1.3786117154958913e-16,-5.0470140638147134e-21,-1.3786621856365294e-16,-8.818743271465298,Danger
2154,0,0,-2.716843598448393e-16,-3.3850791746428318e-21,-2.7168774492401395e-16,-8.818743271465298,Danger
2159,0,0,-4.46312214277189e-16,-3.6977492334015113e-22,-4.463125840521123e-16,-8.818743271465298,Danger
2164,0,0,-6.626897245459628e-16,4.378026197356711e-21,-6.626853465197655e-16,-8.818743271465298,Danger
2169,0,0,-9.170609088547457e-16,1.1232456034270063e-20,-9.170496763987114e-16,-8.818743271465298,Danger
2174,0,0,-1.1988104575458632e-15,2.0512994710546584e-20,-1.1987899445511527e-15,-8.818743271465298,Danger
2179,0,0,-1.4879575836421003e-15,3.241389201413567e-20,-1.487925169750086e-15,-8.818743271465298,Danger
2184,0,0,-1.7524215034210138e-15,4.69098066275651e-20,-1.7523745936143862e-15,-8.818743271465298,Danger
2189,0,0,-1.9452733572582413e-15,6.363618334403477e-20,-1.945209721074897e-15,-8.818743271465298,Danger
2194,0,0,-2.0023112028732517e-15,8.174522510108374e-20,-2.0022294576481507e-15,-8.818743271465298,Danger
2199,0,0,-1.840442493332326e-15,9.974185271761849e-20,-1.840342751479608e-15,-8.818743271465298,Danger
2204,0,0,-1.3575281963572807e-15,1.1530900842454074e-19,-1.3574128873488562e-15,-8.818743271465298,Danger
2209,0,0,-4.345254405011241e-16,1.2513822603251253e-19,-4.344003022750916e-16,-8.818743271465298,Danger
2214,0,0,1.0590543392113826e-15,1.247896350700948e-19,1.0591791288464526e-15,-8.818743271465298,Danger
2219,0,0,3.2552013730072295e-15,1.0861539397794106e-19,3.2553099884012074e-15,-8.818743271465298,Danger
2224,0,0,6.271714661520309e-15,6.979161284192669e-20,6.271784453133151e-15,-8.818743271465298,Danger
2229,0,0,1.0189511043635816e-14,5.154352768736342e-22,1.0189511559071093e-14,-8.818743271465298,Danger
2234,0,0,1.5021865060689282e-14,-1.0756504812752132e-19,1.5021757495641153e-14,-8.818743271465298,Danger
2239,0,0,2.0674920167025926e-14,-2.626117031517774e-19,2.0674657555322774e-14,-8.818743271465298,Danger
2244,0,0,2.689953638846123e-14,-4.7146775125076025e-19,2.689906492070998e-14,-8.818743271465298,Danger
